"Companies","Categorization","Sector","TotalBoardMembers","HausaFulani","Igbo","Yoruba","Minority","NonNative","Years","Employees","OperatingExpenses","TotalExpenses","Sales","Cash","TotalAssets","AssetTurnover","GroupNotgroup","prop_HF_board","prop_I_board","prop_Y_board","prop_M_board","prop_NN_board","homogeneity","diversity"
1,2,3,10,1,3,4,2,0,29,97,859107,1015097,1124745,1831940,12259792,0.09174258421350052,2,0.1,0.3,0.4,0.2,0,0.4,"1"
2,2,3,8,0,0,7,0,1,56,276,295777,379961,2037092,-61520,1966709,1.035787195767142,1,0,0,0.875,0,0.125,0.875,"0"
4,2,3,7,0,1,4,2,0,14,76,1699463,2523099,3902102,1622185,18649333,0.2092354723892806,2,0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0.5714285714285714,"0"
5,2,3,5,0,1,2,2,0,60,99,2320813,17293745,7029956,931931,37706917,0.18643677498216044,1,0,0.2,0.4,0.4,0,0.4,"1"
6,2,3,5,1,1,3,0,0,61,20,172591,172751,347316,31829,2110184,0.16459038643075674,2,0.2,0.2,0.6,0,0,0.6,"0"
7,2,3,10,1,0,7,1,1,50,290,16242254,41165793,49376338,8166352,135263455,0.36503827290231494,1,0.1,0,0.7,0.1,0.1,0.7,"0"
8,2,3,11,0,0,0,1,10,2,591,179000,359000,1106000,23000,1258000,0.8791732909379968,2,0,0,0,0.09090909090909091,0.9090909090909091,0.9090909090909091,"0"
9,2,1,4,0,3,0,0,1,38,63,92615,167576,2606543,74374,2476057,1.0526991099154825,2,0,0.75,0,0,0.25,0.75,"0"
10,2,2,6,0,1,3,1,1,62,232,970458,5848842,5871282,133042,7390839,0.7943999321321977,1,0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,"1"
11,2,1,7,1,0,6,0,0,56,99,10674426,13077123,176550766,1867487,47018954,3.7548850193477294,2,0.14285714285714285,0,0.8571428571428571,0,0,0.8571428571428571,"0"
13,2,3,7,0,4,3,0,0,27,1298,1124903,5439823,5301950,139859,3623351,1.463272534181756,1,0,0.5714285714285714,0.42857142857142855,0,0,0.5714285714285714,"0"
15,2,3,11,0,0,4,1,6,31,333,4671064,7261328,12687959,35,67597041,0.1876999172197493,1,0,0,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.5454545454545454,"1"
16,2,2,8,1,1,2,2,2,61,179,1164299,1285120,3584804,216689,5066449,0.7075575023058557,2,0.125,0.125,0.25,0.25,0.25,0.25,"1"
17,2,2,9,0,0,0,0,9,46,1612,22839,29097,39968,1402,90744,0.4404478533015957,1,0,0,0,0,1,1,"0"
19,2,2,7,5,1,0,0,1,6,1062,22360889,33335623,175518326,15024598,470566595,0.37299359509359137,2,0.7142857142857143,0.14285714285714285,0,0,0.14285714285714285,0.7142857142857143,"0"
21,2,3,9,0,4,3,1,1,30,462,2592643,25359033,25834208,512287,42796517,0.6036521149606637,1,0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.4444444444444444,"1"
22,2,2,9,0,0,4,1,4,55,536,7028496,7527150,39326807,2285899,28801938,1.365422250405511,2,0,0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444,"1"
23,2,2,10,0,2,6,1,1,55,214,1950789,2755305,8410650,4322987,6760961,1.2440021470320566,2,0,0.2,0.6,0.1,0.1,0.6,"0"
24,2,3,10,0,0,2,7,1,39,599,836872,1081493,5188276,2426761,9900732,0.5240295364019549,2,0,0,0.2,0.7,0.1,0.7,"0"
26,2,3,10,1,1,6,2,0,12,400,258367,423920,990000,72,10132935,0.09770120897844504,1,0.1,0.1,0.6,0.2,0,0.6,"0"
27,2,2,14,1,3,3,2,5,46,163,1720291,1820128,6927177,701962,10981383,0.6308109825511049,1,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.35714285714285715,"1"
28,2,3,9,1,0,5,1,2,35,53,624917,662102,469066,-127893,5127103,0.09148753204294902,1,0.1111111111111111,0,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.5555555555555556,"0"
29,3,2,5,1,0,2,0,2,73,193,2248785,2518887,4156673,-1257165,11120328,0.37379050330170116,1,0.2,0,0.4,0,0.4,0.4,"1"
31,2,3,12,1,5,4,1,1,29,249,1716472.889,10483619.707000002,8385947.285,1154788.206,11291006.944,0.7427103115419004,1,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,"1"
32,2,3,9,1,3,2,3,0,29,165,2899163,3053598,12105513,8193360,29382749,0.4119938879782828,1,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333,0,0.3333333333333333,"1"
33,2,3,11,3,1,5,2,0,62,84,3571428,5353615,11819205,506399,21556410,0.5482919001818949,1,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.18181818181818182,0,0.45454545454545453,"1"
34,2,3,7,0,1,5,1,0,15,121,1018976.6270000001,1219645.827,1905535.288,33854.009,4028054.088,0.47306596345783725,1,0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0,0.7142857142857143,"0"
35,2,3,7,1,0,4,1,1,29,22,902172,1825420,5698352,1524553,21522893,0.26475771635346607,1,0.14285714285714285,0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.5714285714285714,"0"
36,2,2,7,0,7,0,0,0,38,249,872214,1181661,5434107,112612,2861339,1.899148265899287,1,0,1,0,0,0,1,"0"
37,2,3,6,0,2,4,0,0,29,597,2320058,2928756,7090060,56613,7420026,0.955530344502836,1,0,0.3333333333333333,0.6666666666666666,0,0,0.6666666666666666,"0"
38,2,3,14,1,0,4,9,0,32,572,4299418,4668365,5152448,246281,18072656,0.28509633559118264,2,0.07142857142857142,0,0.2857142857142857,0.6428571428571429,0,0.6428571428571429,"0"
39,1,2,16,3,2,2,2,7,28,14409,136586000,216694000,610247000,55787000,1823984000,0.3345681760366319,1,0.1875,0.125,0.125,0.125,0.4375,0.4375,"1"
40,2,2,9,4,1,2,1,1,15,1592,6780835,17778128,158104577,23663403,198129122,0.7979875719632977,1,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4444444444444444,"1"
43,2,3,5,0,1,3,1,0,17,220,1965282,2125886,25193379,1053525,6883345,3.6600488570600485,2,0,0.2,0.6,0.2,0,0.6,"0"
44,2,3,13,1,0,1,2,9,35,14878,1113731,1382153,1411998,2559766,23641184,0.05972619645445846,1,0.07692307692307693,0,0.07692307692307693,0.15384615384615385,0.6923076923076923,0.6923076923076923,"0"
46,2,1,12,3,2,1,6,0,40,100,738903,738903,70,390,4794390,1.460039754796752e-5,1,0.25,0.16666666666666666,0.08333333333333333,0.5,0,0.5,"1"
47,2,1,9,2,1,6,0,0,31,75,3266978,5259133,229274785,122651,28310175,8.098670707616607,2,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0.6666666666666666,"0"
49,1,3,11,1,2,8,0,0,8,9014,4508000,4520000,2159000,5706000,276176000,0.007817478709228897,1,0.09090909090909091,0.18181818181818182,0.7272727272727273,0,0,0.7272727272727273,"0"
50,2,3,10,0,0,7,2,1,8,3610,633488,646521,3501949,19482,134019820,0.026130082848939806,1,0,0,0.7,0.2,0.1,0.7,"0"
51,2,3,15,2,8,2,3,0,33,2933,81992000,83920000,215514000,259915000,2114037000,0.10194428952757213,1,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.2,0,0.5333333333333333,"1"
52,2,3,8,1,1,5,1,0,25,397,3918795,5822371,14062015,242685,20364351,0.6905211464878012,2,0.125,0.125,0.625,0.125,0,0.625,"0"
53,2,2,14,2,0,6,2,4,60,3566,19203128,36215710,370205529,8459148,314058187,1.1787800615431814,1,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,"1"
56,2,3,8,1,1,3,0,3,49,125,5252407,5504634,20760320,3710764,18684558,1.11109505507168,1,0.125,0.125,0.375,0,0.375,0.375,"1"
57,2,3,7,1,0,2,4,0,14,98,1897628,2383304,2458400,125084,5356216,0.4589807431216366,2,0.14285714285714285,0,0.2857142857142857,0.5714285714285714,0,0.5714285714285714,"0"
59,2,3,8,0,3,5,0,0,27,105,1359933,1363395,955718,100514,1940702,0.49245994490653383,2,0,0.375,0.625,0,0,0.625,"0"
60,2,2,10,0,0,0,0,10,80,2455,574700,645400,4595000,77300,5426700,0.8467392706433007,1,0,0,0,0,1,1,"0"
61,2,3,7,2,2,2,1,0,0,3509,117289.60399999999,133594.705,180564.72,360881.347,2839256.527,0.06359577526120451,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,0.2857142857142857,"1"
62,2,3,12,2,6,3,1,0,62,80,2326758,2334514,1176095,680541,3605444,0.32619976901596587,2,0.16666666666666666,0.5,0.25,0.08333333333333333,0,0.5,"1"
